Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP▼
39,Troy Murphy\murphtr01,PF,29,IND,72,2344,18.0,.585,.410,.237,6.0,28.5,17.2,10.6,1.5,1.0,10.0,18.8,,4.1,3.7,7.8,.159,,1.4,1.1,2.6,2.7
40,Jason Richardson\richaja01,SG,29,PHO,79,2485,16.6,.574,.401,.184,3.9,13.9,9.2,8.8,1.3,0.9,7.9,20.8,,5.0,1.7,6.6,.128,,2.9,-0.7,2.2,2.7
41,Anderson Varejao\varejan01,PF,27,CLE,76,2166,15.8,.598,.011,.375,10.9,20.4,15.9,6.1,1.7,2.4,11.0,13.1,,4.3,3.8,8.1,.179,,0.4,2.6,3.0,2.7
42,LaMarcus Aldridge\aldrila01,PF,24,POR,78,2922,18.2,.535,.014,.260,8.1,18.6,13.3,9.9,1.3,1.3,7.4,22.9,,5.5,3.3,8.8,.145,,0.9,0.6,1.6,2.6
43,Ray Allen\allenra02,SG,34,BOS,80,2819,15.2,.601,.410,.260,2.0,8.8,5.5,12.3,1.2,0.7,10.6,20.2,,5.1,2.9,7.9,.135,,2.3,-0.7,1.7,2.6
44,Steve Nash\nashst01,PG,35,PHO,81,2660,21.6,.615,.295,.228,1.5,9.4,5.7,50.9,0.8,0.3,21.4,22.9,,9.1,0.8,9.9,.178,,4.9,-3.1,1.8,2.6
45,Matt Barnes\barnema02,SF,29,ORL,81,2097,13.6,.576,.372,.262,6.1,18.0,12.3,10.1,1.5,1.1,15.3,16.2,,2.5,3.4,5.9,.135,,0.5,2.2,2.7,2.5
46,Tyreke Evans\evansty01,SG,20,SAC,72,2677,18.2,.529,.121,.399,2.8,13.6,8.1,26.1,2.1,0.7,13.6,26.2,,3.3,2.1,5.4,.097,,1.6,0.0,1.6,2.5
47,Raymond Felton\feltora01,PG,25,CHA,80,2643,15.2,.525,.184,.204,2.5,10.5,6.6,29.5,2.5,0.7,15.4,19.2,,2.5,4.0,6.5,.118,,0.5,1.1,1.6,2.4
48,Kevin Garnett\garneke01,PF,33,BOS,69,2060,19.4,.569,.006,.286,4.8,24.8,15.1,15.7,1.7,2.2,10.4,22.1,,3.6,3.8,7.3,.171,,0.0,2.6,2.6,2.4
49,Jeff Green\greenje02,PF,23,OKC,82,3043,13.8,.530,.292,.208,4.3,13.9,9.2,7.2,1.8,1.8,10.4,19.2,,2.5,4.2,6.6,.105,,0.0,1.1,1.1,2.4
50,Paul Millsap\millspa01,PF,24,UTA,82,2277,16.7,.573,.013,.369,9.9,18.9,14.5,8.9,1.4,3.5,12.2,18.7,,3.7,3.5,7.2,.151,,0.1,2.1,2.1,2.4
51,David West\westda01,PF,29,NOH,81,2949,18.9,.560,.022,.279,6.4,17.9,12.0,13.7,1.3,1.5,11.2,24.0,,5.2,2.3,7.5,.122,,0.8,0.4,1.2,2.4
52,Carmelo Anthony\anthoca01,SF,25,DEN,69,2634,22.2,.548,.125,.407,6.7,13.1,9.9,15.9,1.7,0.9,10.6,33.4,,5.6,2.4,7.9,.145,,2.7,-1.3,1.4,2.3
53,Baron Davis\davisba01,PG,30,LAC,75,2523,17.4,.501,.292,.287,2.4,9.9,6.1,39.6,2.6,1.3,15.6,24.3,,2.5,2.1,4.5,.086,,2.0,-0.5,1.5,2.3
54,Andre Miller\millean02,PG,33,POR,82,2500,18.1,.530,.088,.432,4.0,9.2,6.6,30.3,2.0,0.3,13.8,23.8,,4.6,2.4,7.0,.134,,1.9,-0.3,1.6,2.3
55,Metta World Peace\artesro01,SF,30,LAL,77,2605,12.1,.514,.400,.251,4.3,9.9,7.1,13.3,2.1,0.6,12.8,16.2,,1.8,3.5,5.3,.098,,0.3,1.2,1.5,2.3
56,Trevor Ariza\arizatr01,SF,24,HOU,72,2629,13.3,.488,.407,.228,3.3,14.7,8.8,16.7,2.4,1.1,12.8,21.2,,0.1,3.1,3.2,.058,,0.0,1.3,1.3,2.2
