Name,G,FGA,3PA,FTA,ORB,TRB.1,AST.1,STL,BLK,TOV,PF,MP.1,PTS.1,FG%,3P%,FT%,Years,AP,LAT,SR,TQS,SVL,MVL,MBP
jamisan01,34.666666666666664,12.99689510939511,0.2503137065637066,6.04481981981982,,9.866666666666667,0.9,0.8936212998712998,0.8235440797940798,1.821875,2.4066964285714283,33.599999999999994,18.8,0.5823333333333334,0.19400000000000003,0.6046666666666667,3.0,0.0,,,,,,
jamisha01,32.25,5.72638803366174,0.0,4.6188661553963275,,7.200000000000001,0.975,0.7885356023287058,0.5136377630989699,1.7037269244165796,2.596019306364134,26.333333333333332,9.425,0.5955,,0.546,4.0,0.25,,,,,,
jasiksa01,30.0,5.845356401660281,2.9294979246487864,1.741219667943806,,1.9,1.85,1.1875,0.1875,,,14.933333333333332,7.5,0.43674999999999997,0.38775,0.70275,4.0,0.75,,,,,,
jawaina01,13.0,8.076923076923077,0.07692307692307693,4.230769230769231,,5.8,0.9,,,,,23.9,11.4,0.5329999999999999,0.0,0.655,1.0,0.0,,,,,,
jeffech01,29.333333333333332,10.46876326288091,4.233469145233851,4.803964009846363,,5.0,1.9666666666666668,1.126771920889568,1.1609371021135726,2.3754774637127576,2.32526950174009,28.833333333333332,13.5,0.435,0.33233333333333337,0.601,3.0,0.3333333333333333,,,,,,
jeffeco01,32.5,5.471491726135689,0.3374214550685139,2.9205660215722133,1.6995469596088792,5.0,0.35,0.2961821286124692,1.1585407278131736,0.7080469456630447,1.606021213606353,18.0,7.9750000000000005,0.50575,0.17525,0.659,4.0,0.75,12.63,3.39,3.36,33.0,37.5,
jeffedo01,31.0,2.994791666666667,1.05625,1.525,,2.55,3.25,1.0854166666666667,0.2677083333333333,,,19.65,3.65,0.391,0.2695,0.671,2.0,0.0,,,,,,
jeffeot01,32.0,11.731854838709678,0.1875,5.92921146953405,,8.333333333333334,2.8,1.3442540322580645,0.4158266129032258,,,29.5,16.166666666666668,0.5196666666666666,0.16699999999999998,0.6256666666666667,3.0,0.0,,,,,,
jefferi01,28.0,8.074603174603174,1.884920634920635,3.535714285714286,,4.866666666666666,2.7999999999999994,0.5666666666666668,0.7785714285714285,2.673015873015873,2.5841269841269843,26.03333333333333,11.200000000000001,0.4923333333333333,0.37766666666666665,0.715,3.0,1.0,11.19,,3.15,33.0,38.5,14.0
jeffrja01,35.0,11.205882352941178,1.706699346405229,5.850490196078431,,7.25,2.25,1.2058823529411764,1.2565359477124183,2.8872549019607847,2.69281045751634,32.6,14.4,0.4495,0.3125,0.6435,2.0,0.5,,,,,,
jenkich01,32.0,14.416648898979656,3.6210464495359274,6.1068298988874545,0.8315508021390374,4.324999999999999,3.7750000000000004,1.6621363866863361,0.552870393847194,3.0192923466408503,2.3088235294117645,36.8,19.475,0.45875,0.3675,0.8075000000000001,4.0,0.0,11.68,,3.18,29.5,34.0,16.0
jenkiho01,27.333333333333332,17.211564148801177,6.399285380351299,7.6405529953917055,,6.3,3.8666666666666667,,,,,36.199999999999996,23.433333333333337,0.4443333333333333,0.349,0.7633333333333333,3.0,0.0,10.97,,3.1,34.5,41.0,2.0
