Name,G,FGA,3PA,FTA,ORB,TRB.1,AST.1,STL,BLK,TOV,PF,MP.1,PTS.1,FG%,3P%,FT%,Years,AP,LAT,SR,TQS,SVL,MVL,MBP,VORP_Max
alexaga01,29.0,10.963628899835797,0.03448275862068965,4.7990695128626175,,9.9,1.3,,,,,32.73333333333333,14.6,0.5316666666666667,0.0,0.6206666666666667,3.0,0.0,,,,,,,-0.1
alexajo01,27.33333333333333,7.794444444444443,1.625925925925926,2.6740740740740745,,3.8,1.5,0.4777777777777778,1.0851851851851853,2.2222222222222223,,20.066666666666666,9.5,0.4623333333333333,0.191,0.6916666666666668,3.0,0.0,11.33,,2.99,32.5,38.5,24.0,0.0
alexavi01,27.75,10.921013859429731,0.03571428571428571,4.515310749003379,,6.8,1.025,0.6620636974139658,1.0278302668942028,1.7723466895584463,2.14836187896835,25.4,16.174999999999994,0.6067499999999999,0.0,0.6014999999999999,4.0,0.0,,,,,,,0.1
alforst01,31.25,13.513483921794526,5.941176470588236,4.7675818311195455,,2.775,3.075,1.439846503117376,0.055180943345079975,1.8078938228517212,1.6753756946326916,,19.525,0.54,0.53,0.8985000000000001,4.0,0.0,,,,,,,0.1
allenje01,27.25,11.085063085063084,4.756283068783069,3.8202075702075695,,4.4,4.6000000000000005,1.5211385836385836,0.2028133903133903,2.3791208791208787,1.8121947496947497,32.75,13.625,0.416,0.3425,0.7125,4.0,0.0,,,,,,,-0.3
allenla01,33.75,8.217074102368219,0.4889292080468551,2.411325439266616,3.1047619047619044,8.5,2.1,0.5334415584415584,1.5804048892284186,1.3999618029029794,2.2506493506493506,34.2,10.525,0.53825,0.311,0.67525,4.0,0.25,,,,,,,0.8
allenma01,31.75,6.6688626567398135,0.0,2.949835096656217,,5.6,0.8,0.5712268155694878,1.5055756922675028,1.5429292929292933,2.2095959595959602,23.96666666666667,8.925,0.50375,,0.65825,4.0,0.25,11.83,,3.38,25.5,29.0,13.0,0.0
allenra01,28.75,10.556746031746034,,3.6054894179894177,,6.375,,1.0183201058201057,0.9027777777777778,1.4024470899470902,3.1975529100529103,31.175,12.575,0.49275,,0.603,4.0,0.0,,,,,,,-0.7
allenra02,33.666666666666664,14.35201330532213,5.145885854341737,3.5360294117647064,,5.966666666666666,2.4,1.579394257703081,0.4067226890756302,1.9084033613445381,1.4411589635854345,28.6,19.03333333333333,0.4903333333333333,0.43766666666666665,0.7763333333333334,3.0,0.0,,,,,,,6.0
allento01,33.0,11.888392857142856,1.8297619047619047,5.160119047619047,,5.666666666666668,3.033333333333333,1.9973214285714285,0.8035714285714286,,,31.0,15.633333333333333,0.487,0.35566666666666663,0.6579999999999999,3.0,0.0,10.699999999999998,,3.19,31.5,36.5,17.0,2.2
allrela01,23.75,6.228096550358213,0.1264367816091954,3.436031204540332,,5.3,0.675,0.25007683324113344,0.15647260297361718,,,18.575,8.5,0.49725,0.4665,0.6947500000000001,4.0,0.0,,,,,,,0.0
almonmo01,30.25,10.565322580645162,2.899114343317972,4.150832853302612,,3.45,1.0,0.7437451996927803,0.5375192012288786,,,27.05,15.075,0.49075,0.41,0.81075,4.0,0.0,11.45,,3.19,31.0,35.5,13.0,0.0
alstode01,28.75,11.448050082101808,0.03451012588943623,6.313279967159279,,7.675,1.325,1.2291256157635468,1.9934318555008208,3.0142446633825943,3.5204638752052544,32.7,16.475,0.55825,0.3333333333333333,0.57475,4.0,0.0,,,,,,,0.1
alstora01,33.0,9.363636363636363,5.9393939393939394,2.0,,2.2,7.3,2.121212121212121,0.3636363636363637,,,,11.0,0.401,0.337,0.758,1.0,0.0,,,,,,,2.5
alumape01,29.75,10.071505541871922,0.04530993431855501,5.696918616584566,,5.725,0.65,,,,,27.45,14.474999999999998,0.53025,0.0,0.6559999999999999,4.0,0.0,,,,,,,0.0
amaecjo01,26.4,6.554185185185185,0.5130555555555556,5.349814814814816,,6.3599999999999985,0.9,0.6734143518518518,1.8276851851851847,2.210601851851852,2.0810300925925924,25.46,10.48,0.491,0.3043333333333333,0.6418,5.0,0.0,,,,,,,-0.6
amayaas01,32.0,9.446070075757577,0.4841540404040404,5.839914772727273,,8.9,0.5,1.0559185606060606,1.2326704545454548,1.8890625,3.321780303030303,32.275,14.65,0.57375,0.16,0.6475,4.0,0.0,,,,,,,-0.2
aminual01,31.0,10.596774193548388,1.6935483870967742,5.661290322580645,4.290322580645161,9.45,1.4,1.1935483870967742,1.3225806451612905,2.9032258064516134,2.9354838709677415,31.3,14.35,0.4815,0.226,0.6844999999999999,2.0,0.0,11.29,,3.3,27.0,33.5,13.0,1.5
amundlo01,30.0,5.434881349647757,0.008064516129032258,2.996644419725621,,5.625,0.55,0.771273637374861,1.0031238413051542,,,22.8,7.35,0.5285,0.0,0.495,4.0,0.0,10.58,,3.2,32.0,35.5,14.0,0.7
