PLAYER,POS,"LANE AGILITY TIME 
(SECONDS)","SHUTTLE RUN 
(SECONDS)","THREE QUARTER SPRINT 
(SECONDS)","STANDING VERTICAL LEAP 
(INCHES)","MAX VERTICAL LEAP 
(INCHES)","MAX BENCH PRESS 
(REPETITIONS)"
Gilbert Arenas,SG,-,-,3.25,31.5,36,12
Greg Stevenson,SF,11.29,-,3.23,30,35.5,15
Gyasi Cline-Heard,PF,11.4,-,3.23,31.5,34.5,11
Horace Jenkins,PG,10.97,-,3.1,34.5,41,2
Jamaal Tinsley,PG,11.96,-,3.2,28,37.5,1
Jamario Moon,SF,11.64,-,3.08,33,43,0
Jamison Brewer,PG,9.65,-,3.15,26,32.5,12
Jarron Collins,C-PF,11.65,-,3.6,23,29,10
Jason Collins,PF-C,12.1,-,3.54,25.5,28.5,8
Jason Gardner,PG,10.88,-,2.92,34.5,40,9
Jason Richardson,SF-SG,11.75,-,3.12,32.5,39.5,15
Jerry Green,PG-SG,11.7,-,3.17,28.5,35,13
Jeryl Sasser,PG-SG,11.47,-,3.22,29,34,1
Joe Johnson,SF-SG,12.05,-,3.4,32.5,36.5,12
Joseph Forte,SG,11.51,-,3.19,26.5,33,10
Ken Johnson,C,11.27,-,3.12,32.5,35,13
Kenny Gregory,SF,11.33,-,3.1,39.5,45.5,10
Kenny Satterfield,PG,12.05,-,3.2,28.5,33,3
Kimani Ffriend,C-PF,11.46,-,3.09,32,33,9
Kirk Haston,PF-SF,12.25,-,3.35,27,31.5,11
Kwame Brown,PF-C,11.59,-,3.45,30,33,17
Lazaros Papadopoulos,C-PF,12,-,3.7,23,26,4
Lee Scruggs,PF-SF,13.28,-,3.55,23.5,29.5,0
Loren Woods,C-PF,11.83,-,3.48,24.5,28,10
Martin Rancik,PF-SF,10.77,-,3.19,32,37,14
Maurice Evans,SG,10.08,-,3.12,34.5,37.5,22
Michael Bradley,PF,11.11,-,3.35,27,30,13
Michael Hicks,SG,11.38,-,3.19,33,40.5,13
Michael Wright,PF,11.37,-,3.21,27.5,33.5,18
Mike Mardesich,C-PF,11.65,-,3.45,24,30,8
Nate James,SF,11.42,-,3.31,26,31,23
Norman Richardson,SG,10.97,-,3.15,30.5,35.5,2
Omar Cook,PG,10.77,-,3.2,31,35.5,9
Rashad Phillips,PG,11.93,-,3.27,27,32,5
Richard Jefferson,SF,11.19,-,3.15,33,38.5,14
Robb Dryden,C,12.47,-,3.46,27,30,8
Rodney White,SF,12.07,-,3.47,27.5,33,16
Ruben Boumtje-Boumtje,C,11.84,-,3.33,26.5,31,6
Ryan Carroll,SF-SG,11,-,3.1,34.5,39,14
Sam Clancy,PF,11.47,-,3.13,31,34,15
Sean Lampley,SF,11.06,-,3.12,36,40,12
Shane Battier,SF-PF,10.95,-,3.3,29.5,33,12
SirValiant Brown,PG,11.23,-,3,31,39.5,10
Souleymane Wane,C,12.02,-,3.46,29,30.5,9
Steven Hunter,C-PF,11.99,-,3.15,30.5,38.5,11
Tate Decker,SF,12.19,-,3.47,25.5,28.5,13
Tory Walker,SF,11.95,-,3.25,28,33,7
Trenton Hassell,SG-SF,11.57,-,3.29,35.5,37.5,12
Troy Murphy,PF,11.22,-,3.43,28.5,34.5,11
Troy Ostler,PF-SF,13.42,-,3.5,26.5,29.5,2
Tyson Chandler,SF-PF,12.13,-,3.36,31,33.5,2
Will Solomon,PG-SG,11.3,-,3.22,28.5,35,4
Zach Marbury,PG-SG,11.53,-,3.1,33,36.5,0
A.J. Granger,SF,10.73,-,3.25,30,34,20
A.J. Guyton,PG-SG,10.55,-,3.22,33,37.5,9
Alex Scales,SG-PG,10.98,-,3.21,38.5,42.5,10
Antonis Fotsis,SF,11.6,-,3.44,27,30,2
Aubrey Reese,PG,11.13,-,3.25,31.5,37.5,14
Bootsy Thornton,SG,12.08,-,3.33,26.5,31,7
Brandon Kurtz,PF-C,-,-,-,-,-,7
Brian Montonati,PF,11.85,-,3.53,25,29,5
Caswell Cyrus,PF,12.12,-,3.16,33.5,37.5,18
Ceedric Goodwyn,SF-PF,-,-,-,-,-,-
Chris Porter,SF-PF,10.93,-,3.2,28.5,35,6
Cory Hightower,SG-SF,11.92,-,3.37,29.5,34.5,0
Damon Reed,PF-C,11.21,-,3.31,27.5,31.5,4
Dan Langhi,SF,10.85,-,3.24,31,34.5,12
Dan McClintock,C-PF,11.52,-,3.33,33,35,20
Donnell Harvey,PF,11.23,-,-,33,32.5,15
Ed Cota,PG,10.98,-,3.24,26.5,33.5,1
Eddie Gill,PG,11.12,-,3.18,35,38.5,13
Eddie House,SG-PG,11.12,-,3.27,29.5,38.5,5
Eduardo Najera,PF-SF,11.38,-,3.45,28,35,15
Eric Coley,SG-SF,11.4,-,3.15,35,38,10
Ernest Brown,C,-,-,-,-,-,2
Gabe Muoneke,PF-SF,11,-,3.4,30.5,34,22
Harold Arceneaux,SG-SF,13.8,-,-,-,29,0
Igor Rakocevic,PG,10.4,-,3.1,27.5,34,9
Jabari Smith,PF-C,12.45,-,3.43,24.5,30,15
Jacob Jaacks,PF,11.48,-,3.58,26,32,3
Jamal Crawford,PG-SG,-,-,-,-,-,0
Jameel Watkins,PF-C,12.38,-,3.45,28,30.5,11
Jaquay Walls,PG,10.75,-,3.23,28.5,35.5,0
Jarrett Stephens,PF,11.98,-,3.46,27,29,13
Jason Hart,PG,11.7,-,3.34,29.5,33.5,9
Jimmie Hunter,SG-PG,11.23,-,3.35,29,36,0
Johnny Hemsley,SG-SF,11.5,-,3.19,31.5,35,5
Julius Doc Robinson,PG,12.54,-,3.41,30,37.5,0
Justin Love,PG-SG,10.99,-,3.31,31,38.5,24
Karim Shabazz,C,12.72,-,3.36,24.5,28,2
Kenyon Jones,PF-C,12.44,-,3.6,28.5,30,20
Khalid El-Amin,PG,10.59,-,3.32,27.5,32,6
Lamont Barnes,PF-C,12.3,-,3.4,28,29.5,10
Lavor Postell,SG,11.79,-,3.3,33.5,36.5,17
Malik Allen,PF-C,11.83,-,3.38,25.5,29,13
Marcus Goree,SF-PF,12,-,3.25,29.5,33.5,13
Mario Bland,PF,13.04,-,3.47,27,31,15
Mark Karcher,SG,11.51,-,3.4,27.5,30.5,12
Mark Madsen,PF,12.12,-,3.46,30.5,33.5,13
Marko Jaric,SG-SF,11.32,-,3.28,27.5,33,-
Matt Santangelo,PG,10.66,-,3.06,33.5,43,12
Matthew Nielsen,PF,11.28,-,3.35,26,29,3
Michael Hermon,SG-PG,11.79,-,3.25,29,33,0
Michael Redd,SG-SF,12.06,-,3.34,27,31,12
Mike Smith,SF,11.32,-,3.22,33,21,12
Nate Johnson,SF,11.9,-,3.33,27,33.5,13
Ndongo N'diaye,C,13.16,-,3.69,24.5,27.5,4
Nick Sheppard,PF-C,12.14,-,3.52,23.5,25.5,18
Pepe Sanchez,PG,11.62,-,3.44,26,31,8
Pete Mickeal,SG-SF,10.83,-,3.06,28,34.5,8
Primoz Brezec,C,11.53,-,3.55,26,29.5,-
Reed Rawlings,SG-SF,11.1,-,3.27,28.5,33.5,13
Ron Hale,SG-SF,12.58,-,3.2,29.5,34.5,11
Schea Cotton,SF,11.55,-,3,34,38,19
Shaheen Holloway,PG,11.22,-,3.32,-,-,6
Speedy Claxton,PG,10.48,-,3.06,36,42.5,6
Terrance Roberson,SF,11.66,-,-,29,32.5,11
Vassil Evtimov,PF,11.75,-,3.52,21,28.5,13
