Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Season,Name
20,VIRGINIA,1,11,0,4,0,2,0,2,,1,2,0,1,1,0,0,.000,.000,.000,11.0,0.0,1.0,2.0,1993-94,a/alexaco01
21,VIRGINIA,20,692,119,263,34,97,61,87,,84,110,32,3,78,40,333,.452,.351,.701,34.6,16.7,4.2,5.5,1994-95,a/alexaco01
,,85,2858,459,1075,142,422,226,326,,298,401,99,14,279,189,1286,.427,.336,.693,33.6,15.1,3.5,4.7,Career,a/alexaco01
18,XAVIER,28,278,27,47,,,8,20,,76,6,6,28,15,38,62,.574,,.400,9.9,2.2,2.7,0.2,1989-90,w/williaa01
19,XAVIER,32,858,127,237,,,55,77,,209,33,25,57,87,115,309,.536,,.714,26.8,9.7,6.5,1.0,1990-91,w/williaa01
20,XAVIER,27,786,148,253,,,79,113,,215,31,15,57,68,95,375,.585,,.699,29.1,13.9,8.0,1.1,1991-92,w/williaa01
21,XAVIER,30,843,127,247,,,73,94,,213,54,21,55,67,93,327,.514,,.777,28.1,10.9,7.1,1.8,1992-93,w/williaa01
,,117,2765,429,784,,,215,304,,713,124,67,197,237,341,1073,.547,,.707,23.6,9.2,6.1,1.1,Career,w/williaa01
18,AUBURN,28,746,144,242,,,68,107,,275,30,13,51,45,99,356,.595,,.636,26.6,12.7,9.8,1.1,1981-82,b/barklch01
19,AUBURN,28,782,161,250,,,82,130,,266,49,32,45,80,102,404,.644,,.631,27.9,14.4,9.5,1.8,1982-83,b/barklch01
20,AUBURN,28,794,162,254,,,99,145,,265,58,31,49,65,89,423,.638,,.683,28.4,15.1,9.5,2.1,1983-84,b/barklch01
,,84,2322,467,746,,,249,382,,806,137,76,145,190,290,1183,.626,,.652,27.6,14.1,9.6,1.6,Career,b/barklch01
23,CINCY,34,864,114,238,0,2,50,90,,213,69,,,,,278,.479,.000,.556,25.4,8.2,6.3,2.0,1991-92,b/blounco01
24,CINCY,21,588,104,189,,,30,53,,170,47,,,,,238,.550,,.566,28.0,11.3,8.1,2.2,1992-93,b/blounco01
,,55,1452,218,427,0,2,80,143,,383,116,,,,,516,.511,.000,.559,26.4,9.4,7.0,2.1,Career,b/blounco01
20,CALIFORNIA,33,,57,126,8,26,34,53,,107,58,27,1,52,,156,.452,.308,.642,,4.7,3.2,1.8,2008-09,g/gutiejo01
21,CALIFORNIA,30,641,55,131,16,39,38,63,19,89,81,28,2,44,72,164,.420,.410,.603,21.4,5.5,3.0,2.7,2009-10,g/gutiejo01
22,CALIFORNIA,33,1104,143,348,36,109,161,201,20,124,148,53,8,100,89,483,.411,.330,.801,33.5,14.6,3.8,4.5,2010-11,g/gutiejo01
